,index,ratio
0,3726,1.0000183449147055
1,7317,1.0003309917127612
2,6632,1.0008701573824519
3,4289,1.0015117455831282
4,214,1.0018413476071422
5,6615,1.004428630704269
6,5322,1.0047466874684612
7,7904,1.004800861072148
8,1354,1.0058103722051297
9,248,1.006935235731369
10,8413,1.008820089824181
11,7522,1.009395599502365
12,3627,1.0095929747609615
13,9465,1.0098423303222577
14,98,1.0099810261680766
15,1924,1.0107046234486896
16,188,1.0107692275331626
17,7778,1.013065125488046
18,1226,1.0136275225110543
19,6522,1.014972070493136
20,2090,1.0156726958041378
21,3737,1.01567650614647
22,9244,1.017492827284964
23,5114,1.017556907902288
24,3558,1.0181072776966384
25,9153,1.0204869372325363
26,1312,1.0209381403455502
27,2820,1.022179733276163
28,8440,1.0224600198564149
29,8931,1.0227911930030467
30,4614,1.0228214206314237
31,7597,1.0229291508097216
32,2248,1.0241224865420127
33,1455,1.024756046261667
34,898,1.02495494118143
35,9170,1.0254291049647462
36,9049,1.0267266580134995
37,4914,1.0281640814416644
38,144,1.028817344945341
39,1311,1.0289184517826306
40,4332,1.0301373445205675
41,7830,1.0340385823206468
42,6140,1.0340513926536616
43,4363,1.0346994578607762
44,9163,1.0376214598267106
45,6765,1.0385658792802512
46,9775,1.038661506694048
47,5825,1.0389869275886452
48,2398,1.0390112611679199
49,8232,1.0390513568022275
50,9492,1.0412614818820627
51,328,1.0413131335963117
52,16,1.0413552759411482
53,6478,1.0415599369330546
54,8034,1.0421705108176924
55,3459,1.0440630798138322
56,4136,1.0448888172843542
57,1647,1.0451294589566307
58,3842,1.0460399380477716
59,3365,1.0467214525732098
60,4382,1.0485978286615338
61,2597,1.0492155699642094
62,354,1.0508132256286347
63,7582,1.0517034829250216
64,2279,1.0528746246847316
65,645,1.053898333513921
66,547,1.0550789439786623
67,1631,1.055217825644739
68,8109,1.0552685996863038
69,3553,1.0563857754817012
70,8135,1.0581634279258763
71,8942,1.0605982164222385
72,4974,1.061866813804789
73,9596,1.0650113336106684
74,6172,1.0653242136514085
75,1540,1.065736767391782
76,7768,1.0668553947412094
77,7611,1.0669657882192551
78,1673,1.0670745721847799
79,4369,1.067473077628493
80,8453,1.0681636162355355
81,5060,1.0685231773356392
82,448,1.0691378913717589
83,3778,1.0696447240979428
84,4573,1.0699436097621056
85,3781,1.071799251158304
86,864,1.0733064873115366
87,2073,1.074268507855284
88,5737,1.0756700006323223
