,index,ratio
0,8506,1.0006207810216532
1,6410,1.0017379194201717
2,8680,1.0018578422453466
3,3451,1.002176727828655
4,1696,1.002566769301738
5,8942,1.00262410629108
6,9212,1.00321473056847
7,4899,1.0032950886757717
8,3800,1.0033572916686595
9,1158,1.0038406398270836
10,1396,1.0038713517056412
11,3563,1.004826741426425
12,3112,1.0051163642016292
13,6188,1.0054150534881687
14,4106,1.0055907903492325
15,4243,1.0061998894005846
16,6499,1.0063724249480064
17,2753,1.0068677627805422
18,662,1.007038426175962
19,9144,1.0075030262311175
20,9885,1.0080310328474076
21,5429,1.008099690430497
22,2695,1.0081323906761788
23,5575,1.0083557513011232
24,1801,1.0084396210728859
25,6022,1.0084984539619113
26,710,1.0088306378383136
27,3312,1.009266595136925
28,3506,1.009578487334609
29,718,1.009865437202731
30,3132,1.0099343560037695
31,7890,1.0103943222673937
32,9173,1.0111507702768916
33,3136,1.011263125884176
34,9880,1.012201734543945
35,562,1.0133565096587225
36,226,1.0140340589271202
37,1047,1.0143663211607683
38,9447,1.0149776474566008
39,8933,1.0150306754138285
40,9264,1.0154367471965549
41,7928,1.0155954821399522
42,6452,1.0159201392468213
43,9612,1.0162443276490956
44,7524,1.0170293769166434
45,9411,1.017056263909921
46,810,1.017593774749471
47,9079,1.0176270692538298
48,2423,1.0179041370475672
49,9154,1.018809496211994
50,268,1.019665824362757
51,4454,1.020099266020018
52,2054,1.0202246373187118
53,5278,1.020596657470526
54,9982,1.0206460094886947
55,4363,1.0213793121924102
56,7130,1.0220536184284146
57,4500,1.0231106627354523
58,1968,1.0233479463326787
59,4112,1.0234922681424008
60,9914,1.0236546399146322
61,9730,1.0237289248726484
62,372,1.0246739278593087
63,543,1.0251419223497478
64,5022,1.0252364808626804
65,1508,1.0256906562165888
66,381,1.026093253292355
67,5335,1.0262637113960589
68,4212,1.026433922810913
69,4117,1.026806233029429
70,4856,1.0269124850363651
71,1282,1.0269330648308976
72,913,1.026962192314854
73,2248,1.0273721968238887
74,1868,1.0274064482438297
75,6797,1.0280557650585447
76,2437,1.0291819688576256
77,9724,1.0295660373166933
78,9940,1.0299856245365067
79,8084,1.0305056167026598
80,7942,1.0306656813790656
81,222,1.0311097420231514
82,5029,1.0311463085225518
83,1082,1.0317552324542583
84,7557,1.0326033865190491
85,3770,1.0327819753293268
86,8235,1.0330700985258856
87,6899,1.0333627586502399
88,4633,1.034017736248119
89,1292,1.0340528159841595
90,4929,1.034424685244318
91,8311,1.0347212236905345
92,4184,1.0356515496828231
93,9249,1.0356946038003954
94,2124,1.0360210932299154
95,8436,1.036214780464119
96,7422,1.0362789969309047
97,6935,1.0363827370150016
98,4692,1.0365039995275624
99,4221,1.0365762808804881
100,5908,1.0369499285191934
101,5152,1.0370311421773912
102,3186,1.0371175289556105
103,6460,1.037551019966758
104,9988,1.0378445942908692
105,9142,1.0380837761306956
106,6851,1.0381930090808706
107,9927,1.0392515969983263
108,6443,1.0393187506739738
109,7254,1.0397816957069073
110,9884,1.04039790768466
111,7656,1.0404475089569392
112,4948,1.041006623085451
113,2573,1.041153725520528
114,3913,1.0412520237621643
115,935,1.0413130864935518
116,8853,1.041449719056825
117,8640,1.0418544666586786
118,2205,1.0419056619857163
119,2550,1.0420835930350028
120,2720,1.0423818651586083
121,1554,1.0426795328102236
122,6999,1.0430761547570573
123,9037,1.043279798551963
124,1688,1.043894576435019
125,3102,1.0439550357739806
126,5192,1.044335905302332
127,2570,1.0444893400760438
128,8889,1.0453209339276601
129,1099,1.0463895987111398
130,2343,1.0467499563574338
131,2024,1.0468029680015216
132,7049,1.047739705626846
133,9792,1.0479096968808768
134,7376,1.048280930633341
135,5730,1.0485528374197237
136,8819,1.04911350031469
137,8164,1.0497524848747368
138,658,1.0516222904580155
139,7010,1.051804077753443
140,9183,1.0518647065183988
141,990,1.0523129346611282
142,8669,1.0530843627858508
143,575,1.0549624952650678
144,2031,1.0556083197138257
145,3298,1.0557719099698264
146,8142,1.0558645644674531
147,8928,1.056839531711682
148,3897,1.0570357432622024
149,2692,1.0571806174151106
150,8106,1.0572432024519323
151,6011,1.0575187381666245
152,9824,1.0581696753427563
153,5771,1.0583259108330496
154,6671,1.0591448061910411
155,4280,1.0598823546767753
156,2177,1.060077972566077
157,431,1.060302904017659
158,9751,1.0605466384865398
159,8808,1.0610656851805267
160,9562,1.061627592956903
161,9362,1.0617706020399498
162,3581,1.0620015359530919
163,9781,1.0623215564605197
164,1649,1.062362672216084
165,9157,1.0624073103082183
166,240,1.062678354639043
167,3838,1.0629040001191374
168,43,1.0631913100533343
169,5427,1.0631953276782429
170,4425,1.063920053633454
171,4966,1.0639854754444822
172,6555,1.0641173758369316
173,3115,1.0653168604787153
174,2407,1.0657174562893716
175,1057,1.0661690172156073
176,9620,1.0664351012668587
177,9756,1.0675887228771277
178,7572,1.0689984150939624
179,1856,1.0693428367661104
180,6667,1.0697982329483726
181,8894,1.07021388268575
182,627,1.0702491668081036
183,9960,1.0705514438986807
184,3225,1.0708370714268944
185,7533,1.0717930336287262
186,7243,1.0719570267061194
187,4316,1.0722340163228006
188,1882,1.072248333451285
189,8301,1.0722583283498084
190,6996,1.0722877490048308
191,7174,1.0729741021170027
192,9800,1.0730710409999897
193,9678,1.0760931577177257
194,6056,1.076413944544524
195,9903,1.07659673994315
196,2376,1.0774158270627265
197,2348,1.077445592486851
198,1138,1.0776737185402356
199,8787,1.077685685767978
200,7940,1.078387748353662
201,3431,1.0786253719958068
202,1262,1.0789499149075725
203,2105,1.0790111987353708
204,9243,1.079125029712963
205,5003,1.0793942948914312
206,1709,1.0801849376665396
207,2631,1.0804321072098073
208,3229,1.0811207276342765
209,9532,1.0812980643288352
210,3476,1.0817724959230344
211,2607,1.0820974953260807
212,5108,1.0825134898632056
213,4296,1.0831309668290445
214,6004,1.0840825208812548
215,8425,1.0844581764868026
216,4301,1.0848801635987508
217,5262,1.0851035427528775
218,4723,1.0856783313714358
219,1423,1.0867187881185283
220,1149,1.0872955932321366
221,403,1.087337680990213
222,4702,1.0879683015514723
223,6359,1.088077122652865
224,5658,1.08870409668176
225,4374,1.0901651829603554
226,2305,1.0902803069314606
227,5523,1.090417352107635
228,720,1.0906063728976634
229,3757,1.0914638064521631
230,9799,1.092311301704765
231,2941,1.0930264484766996
232,4171,1.093953562531253
233,7371,1.096292167610143
234,7136,1.0965454874189415
235,4740,1.0967212913842084
236,9507,1.096909666745986
237,6436,1.0969285281317007
238,7264,1.0971927416628677
239,9233,1.0973533638383735
240,1356,1.0977118013818679
241,75,1.0977126175344314
242,2963,1.097994562678779
243,6496,1.0986344562293824
244,9055,1.0988084565000757
245,3466,1.09905745738116
246,3064,1.0992903513525414
247,8453,1.1002495416421774
248,2870,1.100514198018318
249,7208,1.1009928760526744
250,9495,1.1011829213668392
251,7028,1.1015085481589926
252,3811,1.1018434504372507
253,4735,1.103416824730979
254,6989,1.1034288660868057
255,1756,1.1036262948613362
256,2279,1.103711520800728
257,1546,1.1039098856485574
258,5087,1.103915749182282
259,5210,1.1049796661160807
260,5822,1.105084600060175
261,4145,1.1057129559991894
262,3510,1.1057274827087085
263,6632,1.1058065194189228
264,8310,1.105920497794574
265,7386,1.1064625802014896
266,1721,1.1076187577615952
267,7013,1.107716969048076
268,109,1.1077175421497645
269,1906,1.108105766499178
270,5001,1.1085452161535363
271,6986,1.1086706201356307
272,5144,1.108881286428999
273,7711,1.1096190131122528
274,9649,1.109759310442004
275,3387,1.1099085302800835
276,9299,1.110534971301697
277,7484,1.111913523965551
278,5720,1.1124237230514824
279,5070,1.1128778563171122
280,7461,1.1129378130550394
281,5373,1.1136381421699049
282,8314,1.1138422237357466
283,4253,1.1140360720111566
284,2330,1.1143402192263052
285,2686,1.1147475194634728
286,1441,1.1156183732486686
287,9429,1.1157912707464197
288,6169,1.1158343744005506
289,6345,1.1163250666560964
290,3212,1.1172387940226562
291,9805,1.1176907263393165
292,6396,1.1182611478386204
293,6690,1.118510777242445
294,7641,1.118524522195988
295,4974,1.119401227070741
296,274,1.1209820779480648
297,8391,1.1221312583726013
298,8065,1.122373029879498
299,893,1.1226166093377536
300,5840,1.122657663467284
301,956,1.122933955268917
302,886,1.1229911972506301
303,421,1.1237780854385555
304,146,1.12395786685495
305,6394,1.1239879227508924
306,260,1.124202129995575
307,1187,1.1243918255915226
308,2696,1.1262182323971899
309,4437,1.1264557426745148
310,4361,1.1267755904278645
311,2694,1.127194951605939
312,9746,1.1273041523936775
313,1194,1.127615886227272
314,4584,1.1277220237828245
315,5691,1.128649752077034
316,3054,1.1286965379315261
317,2619,1.1294780682326166
318,789,1.1295135350101126
319,2473,1.1296001331857273
320,3967,1.1306496998285176
321,483,1.1318834954026356
322,7848,1.1321195509704562
323,8009,1.1328181186252853
324,4225,1.1335083387553866
325,1804,1.1342815060730527
326,8232,1.1346142742614462
327,218,1.1346182966938625
328,3859,1.134702354898821
329,1936,1.1349811516171957
330,8297,1.1359065601903862
331,637,1.1359459595472146
332,1896,1.136472586935823
333,6691,1.136738949212984
334,4323,1.136874205614214
335,3441,1.137139837363043
336,7899,1.1379954544983188
337,5821,1.1384136919994279
338,2073,1.1386463770780282
339,4482,1.1387423892596538
340,5871,1.1389506860758989
341,3916,1.139124162419175
342,9578,1.139203207064537
343,2855,1.140440865667777
344,7896,1.1405781728523396
345,6924,1.1411169074499639
346,4788,1.1413132333618206
347,5155,1.1414952357717059
348,8266,1.141623151708121
349,4531,1.1419795400737345
350,3834,1.1426371927407306
351,8782,1.143046188541157
352,5447,1.143539161924049
353,8945,1.1438385091746046
354,1130,1.1443018580008861
355,4072,1.1444671876469599
356,5240,1.1454049055737794
357,7534,1.1454706692890553
358,3504,1.1461006289740765
359,5093,1.146626434916673
360,1478,1.147400927996847
361,9953,1.1474283499641873
362,6053,1.1480162703564625
363,6569,1.1483183158868608
364,9471,1.149011176526774
365,9572,1.1497602541122764
366,5683,1.1505506743708893
367,2122,1.150714727899282
368,2289,1.150785087452517
369,5349,1.151043170147104
370,105,1.1514526680102666
371,5251,1.151541370714026
372,8187,1.1517533271696074
373,6024,1.151804342931542
374,5037,1.1521537242584046
375,4562,1.152681791534173
376,7119,1.1532200824877907
377,5846,1.1541394102759752
378,9045,1.1549513811115242
379,6370,1.1553126805059224
380,142,1.156320747041585
381,3994,1.157392263358229
382,6749,1.1575089877248932
383,3005,1.1575162870323243
384,1842,1.1579145079966362
385,6598,1.158054993569211
386,2109,1.1581119325814169
387,5936,1.1588817282703774
388,5537,1.159242221933652
389,3243,1.1598680682663158
390,6730,1.160220093112182
391,6580,1.1605475783270007
392,8121,1.1608652245505957
393,4417,1.161192586287832
394,8034,1.1614382916165458
395,236,1.1627793086891658
