,index,ratio
0,2189,1.0016447312974437
1,7839,1.0035520702423135
2,551,1.0050442870852583
3,1429,1.0062459555760626
4,2582,1.0094052229475998
5,4978,1.0127313377257685
6,2454,1.0211250437689743
7,5981,1.0217723907260492
8,2043,1.0243483673716827
9,6662,1.0253098495416846
10,149,1.0322516872570453
11,1242,1.0375312882909344
12,3218,1.0445027834794305
13,1581,1.0454470460053462
14,9594,1.0459421598108223
15,4301,1.0518990951334808
16,4548,1.0558403805496828
17,6625,1.055873150991656
18,707,1.059037177236739
19,3976,1.063163132249284
20,4571,1.0639408321190906
21,2018,1.0642871352674452
22,716,1.064629462929407
23,6603,1.0711427833481169
24,4838,1.07185650032778
25,4739,1.0788187573820134
26,2754,1.0970656193937531
27,6024,1.1012574925009093
28,9892,1.1080629676101672
29,7121,1.1109089230486657
30,9832,1.1128178959232378
31,810,1.1156274462512594
32,2939,1.1170979739626847
33,4639,1.1176976577572315
34,2979,1.1232667889324066
35,3132,1.1292700953157653
36,1178,1.131310672454971
37,1044,1.1361685557503933
38,1621,1.1374668636046432
39,9782,1.1582355710573011
40,543,1.1589023598756405
41,1880,1.1597321306628816
42,2004,1.1604462760939638
43,3985,1.1631813506806612
44,3490,1.1673566955535026
45,4807,1.1680107107926452
46,3189,1.175335510967486
47,4344,1.184475235400515
48,9036,1.1850466294298634
49,6598,1.1884436266353327
50,9982,1.1892681799486402
51,9893,1.189301935815184
52,613,1.1916889664501749
53,217,1.1960599564669663
54,4248,1.1972390890662035
55,938,1.1973970081230745
56,1737,1.2047825612265803
57,6706,1.2082369693507617
58,2381,1.2103364572414035
59,2995,1.2114797429032187
60,583,1.2114866549722607
61,358,1.2162120333837767
62,900,1.2255159898402794
63,1289,1.2313619108796159
64,2406,1.2375185857719264
65,2266,1.2388295955080846
66,2758,1.2425148094637917
67,3506,1.2427968275583867
68,1326,1.2539048600172693
69,3030,1.2552772301604456
70,5736,1.2589004023599684
71,6571,1.2664633632378037
72,1982,1.28368016094765
73,1260,1.2852566697715415
74,1283,1.2888843618906958
75,1290,1.298929494359317
76,2044,1.3017953475898107
77,4159,1.3081729061543128
78,3629,1.3094323066366738
79,1522,1.3125696215068023
80,7249,1.32233787837749
81,8382,1.3278223255221315
82,3329,1.337884426760433
83,6755,1.339547558999079
84,4575,1.3490920921252603
85,7689,1.3534541049918531
86,4879,1.3591376779650168
87,4140,1.3852525118749741
88,1003,1.386210009114066
89,740,1.3900304440599136
90,4861,1.3936614662986726
91,3333,1.3947412187937849
92,6091,1.3994450373740404
93,3757,1.4168341675824663
94,1671,1.4176747919618735
95,4289,1.424090336607136
96,497,1.429138878529003
97,726,1.4312571868997968
98,7990,1.4451035271511783
99,4205,1.4524397070467747
100,6093,1.4665093481755165
101,3202,1.468016308802113
102,9698,1.4802561634973455
103,3951,1.480289040519248
104,290,1.4898485315424488
105,6572,1.494917481694974
106,9959,1.4950315983093554
107,3604,1.4971703460932275
108,3598,1.5043575852826399
109,1364,1.5076432291882933
110,3550,1.5084070090027653
111,4380,1.508463812813612
112,167,1.508860172334467
113,6035,1.5095489924354433
114,9792,1.5106003978543885
115,2425,1.5126400934847541
116,4211,1.5169211839142873
117,882,1.5183742531522288
118,1414,1.5224581710853384
119,9975,1.5275651580626028
120,4731,1.5364490019573844
121,4400,1.5405997001237959
122,3821,1.5441403005820653
123,1678,1.5480675163552942
124,282,1.5530471970153372
125,781,1.554325791523564
126,8889,1.558191294509741
127,8311,1.5592355500325024
128,1039,1.5604525258134438
129,9839,1.5724850662179963
130,2598,1.5761684812144603
131,104,1.5763152882179208
132,5749,1.5772145656518466
133,1941,1.5852776367046804
134,2380,1.5909747650291506
135,2182,1.5990732206869283
136,4497,1.599920588374575
137,8183,1.6013157899887076
138,9922,1.6048098891153062
139,4207,1.6216238289091973
140,959,1.6225167231663344
141,4500,1.6281739357265559
142,5626,1.6293002018968505
143,274,1.6349316672596454
144,2186,1.6353015837058253
145,1569,1.6466509164493814
146,8259,1.6468904461360867
147,2514,1.653341713745534
148,1248,1.6631141785438175
149,3060,1.670372465386233
150,1850,1.6706913300044275
151,5914,1.6732353690857278
152,2185,1.6752646605066888
153,2742,1.6777432293257477
154,5858,1.6825554602912984
155,3451,1.6855441836568423
156,6043,1.6932365031927392
157,571,1.6996878488412335
158,9587,1.7016543333083542
159,969,1.70546246479611
160,9905,1.705838276973706
161,2414,1.7070160273399178
162,3012,1.7070836768621516
163,2907,1.7133185261361166
164,324,1.7152145679212787
165,8383,1.718682043897652
166,4761,1.722173723797772
167,5159,1.7284127863520644
168,4350,1.729759123740858
169,2208,1.7318142709086999
170,8091,1.7346325223831771
